Project,Group,File (.java),Method/Field,Line,Warning,Source,Reason
compile-testing,Baseline,CompilationSubject,findLineContainingSubstring,527,False positive,IDE,Nullable variable checked to be non-null
compile-testing,Baseline,CompilationSubjectFactory,createSubject,27,False positive,IDE,Unannotated override of external code
compile-testing,Baseline,Compiler,getPlatformClassLoader,233,False positive,IDE,Null return from unannotated method
compile-testing,Baseline,Compiler,getClasspathFromClassloader,254,True positive,IDE,Unsafe dereference with external code
compile-testing,Baseline,Compiler,getClasspathFromClassloader,255,True positive,IDE,Unsafe dereference with external code
compile-testing,Baseline,InMemoryJavaFileManager,load,60,False positive,IDE,Unannotated override of external code
compile-testing,Baseline,JavaFileObjects,openStream,177,False positive,IDE,Unannotated override of external code
compile-testing,Baseline,JavaFileObjectSubject,actualCustomStringRepresentation,65,False positive,IDE,Unannotated override of external code
compile-testing,Baseline,JavaFileObjectSubjectFactory,createSubject,28,False positive,IDE,Unannotated override of external code
compile-testing,Baseline,JavaSourcesSubjectFactory,createSubject,38,False positive,IDE,Unannotated override of external code
compile-testing,Baseline,JavaSourceSubjectFactory,createSubject,38,False positive,IDE,Unannotated override of external code
compile-testing,Baseline,MoreTrees,absentIfNull,175,False positive,IDE,Optional compared with null
compile-testing,Experimental,Breadcrumbs,getBreadcrumbList,65,False positive,IDE,Passing nullable to unannotated code
compile-testing,Experimental,CompilationRule,elements,52,False positive,Both,Late-init non-null field
compile-testing,Experimental,CompilationRule,types,53,False positive,Both,Late-init non-null field
compile-testing,Experimental,CompilationRule,thrown,91,False positive,IDE,Late-init non-null field
compile-testing,Experimental,CompilationSubject,lines,448,False positive,Both,Late-init non-null field
compile-testing,Experimental,CompilationSubject,findLineContainingSubstring,529,False positive,NA,Nullable variable checked to be non-null
compile-testing,Experimental,Compiler,getClasspathFromClassloader,254,True positive,Both,Unsafe dereference with external code
compile-testing,Experimental,Compiler,getClasspathFromClassloader,255,True positive,Both,Unsafe dereference with external code
compile-testing,Experimental,MoreTrees,absentIfNull,175,False positive,IDE,Optional compared with null
guava,Baseline,Absent,orNull,67,False positive,IDE,Null return from unannotated method
guava,Baseline,AbstractIterator,endOfData,50,False positive,IDE,Null return from unannotated method
guava,Baseline,AbstractIterator,next,85,False positive,IDE,Null assignment to unannotated variable
guava,Baseline,CharMatcher,toString,1560,False positive,IDE,Unannotated override of Java API
guava,Baseline,Converter,correctedDoForward,203,False positive,IDE,Null return from unannotated method
guava,Baseline,Converter,correctedDoBackward,212,False positive,IDE,Null return from unannotated method
guava,Baseline,Defaults,defaultValue,64,False positive,IDE,Null return from unannotated method
guava,Baseline,FinalizableReferenceQueue,loadFinalizer,295,False positive,IDE,Null return from unannotated method
guava,Baseline,FinalizableReferenceQueue,loadFinalizer,302,False positive,IDE,Null return from unannotated method
guava,Baseline,FinalizableReferenceQueue,loadFinalizer,309,False positive,IDE,Null return from unannotated method
guava,Baseline,FinalizableReferenceQueue,loadFinalizer,312,False positive,IDE,Null return from unannotated method
guava,Baseline,FinalizableReferenceQueue,loadFinalizer,344,False positive,IDE,Null return from unannotated method
